City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,14.25,58,75,2.06,CL,1706008627
1,stribro,49.7529,13.0041,6.03,100,99,7.11,CZ,1706008629
2,blackmans bay,-43.0167,147.3167,15.07,85,93,0.58,AU,1706008630
3,port-aux-francais,-49.35,70.2167,7.83,98,100,8.77,TF,1706008631
4,waitangi,-43.9535,-176.5597,17.68,99,99,2.24,NZ,1706008632
5,puerto ayora,-0.7393,-90.3518,25.31,98,87,2.61,EC,1706008632
6,tanout,14.9709,8.8879,26.42,9,39,7.29,NE,1706008634
7,west bay,19.3667,-81.4167,25.04,88,20,5.66,KY,1706008635
8,adamstown,-25.066,-130.1015,24.26,76,88,4.45,PN,1706008636
9,udachny,66.4167,112.4,-9.75,92,91,11.02,RU,1706008637
10,ilulissat,69.2167,-51.1,-13.99,56,40,2.06,GL,1706008638
11,solnechnyy,50.7214,136.6319,-20.65,94,99,4.39,RU,1706008639
12,hawaiian paradise park,19.5933,-154.9731,21.69,90,0,2.57,US,1706008640
13,al jawf,29.5,38.75,19.08,31,31,5.59,SA,1706008641
14,codrington,-38.2667,141.9667,19.92,60,0,2.95,AU,1706008642
15,kapa'a,22.0752,-159.319,24.99,86,75,5.66,US,1706008643
16,west island,-12.1568,96.8225,28.99,79,40,3.6,CC,1706008643
17,pitimbu,-7.4706,-34.8086,28.33,68,51,4.87,BR,1706008644
18,roma,43.2128,-75.4557,0.53,94,100,3.6,US,1706008588
19,zhigalovo,54.8097,105.1578,-23.16,99,13,0.31,RU,1706008646
20,rosarito,32.3333,-117.0333,14.53,90,64,5.62,MX,1706008504
21,port saint john's,-31.6229,29.5448,20.39,79,100,2.45,ZA,1706008647
22,mugia,43.1041,-9.2179,16.62,95,99,6.92,ES,1706008648
23,ushuaia,-54.8,-68.3,17.81,42,0,7.72,AR,1706008648
24,grytviken,-54.2811,-36.5092,2.88,74,82,3.73,GS,1706008650
25,pombal,-6.7703,-37.8017,29.13,59,82,4.5,BR,1706008651
26,remire-montjoly,4.9167,-52.2667,28.02,74,20,4.63,GF,1706008652
27,cabrobo,-8.5142,-39.31,28.71,60,23,7.12,BR,1706008653
28,adrar,20.5022,-10.0711,19.79,23,100,10.38,MR,1706008654
29,fale old settlement,-9.3852,-171.2468,29.6,71,64,3.61,TK,1706008654
30,alice springs,-23.7,133.8833,37.75,31,40,4.63,AU,1706008655
31,balapur,20.6667,76.7667,28.18,17,28,4.4,IN,1706008657
32,aasiaat,68.7098,-52.8699,-12.1,80,100,6.23,GL,1706008658
33,golyshmanovo,56.3979,68.3728,-18.57,95,39,1.83,RU,1706008659
34,tura,25.5198,90.2201,18.95,46,13,1.54,IN,1706008660
35,nanma,36.1817,118.1583,-5.86,37,0,4.08,CN,1706008660
36,albany,42.6001,-73.9662,1.72,70,100,1.79,US,1706008397
37,bardai,11.65,7.2333,29.8,7,7,4.67,NG,1706008663
38,bethel,41.3712,-73.414,1.78,57,0,1.54,US,1706008664
39,mili,6.0815,171.735,27.96,83,9,7.87,MH,1706008664
40,mendi,-6.1761,143.6513,14.05,98,100,0.3,PG,1706008665
41,iqaluit,63.7506,-68.5145,-32.95,67,40,8.75,CA,1706008666
42,stanley,54.868,-1.6985,5.16,91,40,5.14,GB,1706008667
43,vilyuchinsk,52.9306,158.4028,-5.04,95,100,1.72,RU,1706008669
44,palikir - national government center,6.9248,158.1611,27.41,83,100,3.09,FM,1706008554
45,mirny,62.5353,113.9611,-10.98,61,99,5.81,RU,1706008670
46,yellowknife,62.456,-114.3525,-24.21,95,100,2.19,CA,1706008672
47,badger,64.8,-147.5333,-37.07,71,0,0.0,US,1706008673
48,mokhsogollokh,61.4681,128.9203,-33.21,96,99,1.31,RU,1706008674
49,liwa,24.5361,56.5656,25.36,36,1,5.16,OM,1706008675
50,fort mcmurray,56.7268,-111.381,-13.23,78,100,3.6,CA,1706008676
51,leh,34.1667,77.5833,-3.88,23,11,1.2,IN,1706008677
52,saldanha,-33.0117,17.9442,22.05,61,8,6.93,ZA,1706008671
53,murzuq,25.9155,13.9184,16.21,41,4,5.75,LY,1706008681
54,valozhyn,54.0909,26.5225,0.88,100,100,4.0,BY,1706008682
55,yakeshi,49.2833,120.7333,-27.67,100,75,2.05,CN,1706008682
56,tofol,5.3248,163.0078,28.08,83,58,9.67,FM,1706008683
57,muang phonsavan,19.45,103.2167,12.11,75,83,2.05,LA,1706008684
58,papatowai,-46.5619,169.4708,6.97,75,36,5.9,NZ,1706008685
59,suva,-18.1416,178.4415,26.43,86,100,1.12,FJ,1706008686
60,college,64.8569,-147.8028,-37.03,69,0,0.0,US,1706008552
61,hermanus,-34.4187,19.2345,27.67,50,7,7.75,ZA,1706008486
62,illapel,-31.6308,-71.1653,21.12,68,0,0.61,CL,1706008688
63,saint-pierre,-21.3393,55.4781,29.82,84,75,7.72,RE,1706008689
64,iskateley,67.6803,53.1512,-9.43,94,100,5.81,RU,1706008692
65,fort st. john,56.2499,-120.8529,-14.06,85,75,2.06,CA,1706008487
66,waiuku,-37.25,174.75,21.78,73,100,4.56,NZ,1706008694
67,port alfred,-33.5906,26.891,22.32,68,85,2.24,ZA,1706008695
68,ormara,25.2088,64.6357,25.99,35,0,3.68,PK,1706008696
69,punta arenas,-53.15,-70.9167,14.06,62,0,6.17,CL,1706008697
70,tolanaro,-25.0319,46.9987,27.19,68,87,4.88,MG,1706008698
71,edinburgh of the seven seas,-37.0676,-12.3116,19.08,95,100,8.25,SH,1706008699
72,tacoaleche,22.8167,-102.4167,11.52,85,100,4.44,MX,1706008699
73,lakatoro,-16.0999,167.4164,26.65,86,100,1.39,VU,1706008701
74,sao joao do piaui,-8.3581,-42.2467,25.91,83,29,1.95,BR,1706008702
75,thompson,55.7435,-97.8558,-21.91,71,75,2.06,CA,1706008621
76,uturoa,-16.7333,-151.4333,27.86,70,96,0.14,PF,1706008707
77,bredasdorp,-34.5322,20.0403,24.41,52,62,10.8,ZA,1706008708
78,san antonio de pale,-1.4014,5.6325,27.61,80,6,5.88,GQ,1706008709
79,isafjordur,66.0755,-23.124,-0.98,74,75,1.54,IS,1706008710
80,wailua homesteads,22.0669,-159.378,24.24,86,75,5.66,US,1706008711
81,ca mau,9.1769,105.15,27.21,62,56,5.71,VN,1706008712
82,ploneour-lanvern,47.9,-4.2833,13.18,94,100,8.75,FR,1706008713
83,mogocha,53.7333,119.7667,-18.14,99,71,1.16,RU,1706008715
84,zagora,30.3484,-5.8365,17.49,20,0,2.06,MA,1706008715
85,georgetown,5.4112,100.3354,26.64,94,40,2.06,MY,1706008716
86,kristiansund,63.1115,7.732,4.36,81,75,4.63,NO,1706008717
87,saudarkrokur,65.7461,-19.6394,-4.9,77,69,4.08,IS,1706008718
88,sur,22.5667,59.5289,24.2,58,4,4.32,OM,1706008719
89,asekeyevo,53.5742,52.7972,-15.23,90,76,0.52,RU,1706008721
90,sitka,57.0531,-135.33,6.94,81,100,4.12,US,1706008722
91,ust-nera,64.5667,143.2,-43.69,99,66,2.57,RU,1706008723
92,atafu village,-8.5421,-172.5159,29.63,73,89,3.58,TK,1706008724
93,saint-philippe,-21.3585,55.7679,29.77,89,100,4.91,RE,1706008725
94,linxia chengguanzhen,35.6003,103.2064,-9.63,67,100,1.89,CN,1706008726
95,san fernando de apure,7.8878,-67.4724,24.01,72,87,2.84,VE,1706008727
96,mount isa,-20.7333,139.5,32.87,58,40,2.57,AU,1706008727
97,vadso,70.0744,29.7487,-1.91,80,75,2.57,NO,1706008728
98,maraba,-5.3686,-49.1178,25.01,91,79,1.38,BR,1706008729
99,tobelo,1.7284,128.0095,26.55,83,62,3.75,ID,1706008730
100,grootfontein,-19.5667,18.1167,30.81,22,16,6.41,NA,1706008732
101,sumbe,-11.2061,13.8437,26.31,80,99,1.97,AO,1706008733
102,ribeira grande,38.5167,-28.7,18.22,88,75,10.28,PT,1706008734
103,shiqian,27.5225,108.2281,0.26,62,28,2.27,CN,1706008735
104,vorkuta,67.5,64.0,-14.43,88,99,4.72,RU,1706008735
105,minas de marcona,-15.2119,-75.1103,18.92,86,91,2.42,PE,1706008736
106,kodiak,57.79,-152.4072,-3.27,80,100,6.69,US,1706008737
107,east london,-33.0153,27.9116,21.45,58,99,4.02,ZA,1706008738
108,sao jose da coroa grande,-8.8978,-35.1478,28.89,70,64,5.16,BR,1706008738
109,nabire,-3.3667,135.4833,26.85,83,96,0.78,ID,1706008739
110,enewetak,11.3474,162.3373,26.74,73,78,8.32,MH,1706008740
111,esil,51.9556,66.4042,-9.03,86,100,3.49,KZ,1706008740
112,kununurra,-15.7667,128.7333,25.99,94,75,1.54,AU,1706008741
113,puerto lopez,4.0845,-72.956,23.38,60,87,1.13,CO,1706008742
114,antalaha,-14.9003,50.2788,27.66,83,100,2.58,MG,1706008743
115,longboat key,27.4125,-82.659,17.79,87,100,1.79,US,1706008744
116,selfoss,63.9331,-20.9971,-3.67,93,100,3.76,IS,1706008745
117,whitehorse,60.7161,-135.0538,-19.43,74,100,2.06,CA,1706008746
118,crane,31.3974,-102.3501,10.59,87,100,4.75,US,1706008747
119,tsiombe,-25.3,45.4833,28.64,57,87,6.22,MG,1706008748
120,longyearbyen,78.2186,15.6401,-2.09,74,75,10.29,SJ,1706008748
121,takoradi,4.8845,-1.7554,29.5,67,10,2.99,GH,1706008750
122,pontianak,-0.0333,109.3333,29.99,70,20,2.06,ID,1706008752
123,tiksi,71.6872,128.8694,-21.08,92,100,4.93,RU,1706008752
124,jamestown,42.097,-79.2353,0.77,88,100,2.06,US,1706008688
125,ola,59.5833,151.2833,-32.19,93,58,1.69,RU,1706008754
126,dunedin,-45.8742,170.5036,8.22,71,31,4.02,NZ,1706008586
127,doume,4.2333,13.45,36.89,18,14,0.76,CM,1706008757
128,duzce,40.8389,31.1639,8.01,46,3,1.35,TR,1706008758
129,anadyr,64.75,177.4833,-19.72,76,0,4.0,RU,1706008759
130,port lincoln,-34.7333,135.8667,19.85,79,5,4.49,AU,1706008593
131,pacific grove,36.6177,-121.9166,13.14,92,100,3.6,US,1706008761
132,coahuayana de hidalgo,18.7,-103.6583,21.73,77,12,1.06,MX,1706008763
133,constantia,44.1833,28.65,4.38,66,24,4.7,RO,1706008587
134,palanga,55.9175,21.0686,4.01,93,100,4.12,LT,1706008764
135,istgah-e rah ahan-e garmsar,35.2346,52.3094,14.43,37,100,1.67,IR,1706008766
136,ketchikan,55.3422,-131.6461,7.99,93,100,2.57,US,1706008767
137,vorgashor,67.5833,63.95,-14.93,89,98,4.65,RU,1706008768
138,qarqaraly,49.4058,75.4742,-12.57,76,60,2.44,KZ,1706008768
139,invercargill,-46.4,168.35,7.79,84,56,1.34,NZ,1706008770
140,aconibe,1.2968,10.9369,30.46,47,61,1.63,GQ,1706008771
141,shagonar,51.5333,92.8,-28.81,96,46,1.32,RU,1706008772
142,magadan,59.5667,150.8,-32.12,90,6,1.57,RU,1706008760
143,gua musang,4.8823,101.9644,23.35,99,100,0.31,MY,1706008774
144,olonkinbyen,70.9221,-8.7187,-1.28,79,100,11.02,SJ,1706008774
145,umba,66.6871,34.3429,0.89,99,100,6.04,RU,1706008775
146,touros,-5.1989,-35.4608,28.67,71,57,4.62,BR,1706008561
147,bemidji,47.4736,-94.8803,-6.13,93,100,2.06,US,1706008777
148,yeed,4.55,43.0333,35.76,14,40,8.69,SO,1706008779
149,praia da vitoria,38.7333,-27.0667,17.64,94,40,10.92,PT,1706008780
150,khunti,23.0833,85.2833,20.06,32,9,1.15,IN,1706008781
151,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,85,75,3.0,RU,1706008781
152,tocopilla,-22.092,-70.1979,22.71,69,8,1.86,CL,1706008782
153,akrehamn,59.2667,5.1833,7.78,75,40,6.17,NO,1706008783
154,coxen hole,16.3244,-86.5366,26.23,80,22,10.74,HN,1706008784
155,luderitz,-26.6481,15.1594,25.46,57,75,7.07,NA,1706008586
156,kita,13.0349,-9.4895,30.45,5,11,4.47,ML,1706008786
157,carnarvon,-24.8667,113.6333,24.12,68,3,14.76,AU,1706008787
158,tumpat,6.1978,102.171,23.99,100,40,1.03,MY,1706008788
